infinitivo,person,number,tense,mood,conjugacion
﻿agregar,1,0,0,0,agrego
﻿agregar,2,0,0,0,agregas
﻿agregar,3,0,0,0,agrega
﻿agregar,1,1,0,0,agregamos
﻿agregar,2,1,0,0,agregáis
﻿agregar,3,1,0,0,agregan
﻿agregar,1,0,1,0,agregaba
﻿agregar,2,0,1,0,agregabas
﻿agregar,3,0,1,0,agregaba
﻿agregar,1,1,1,0,agregábamos
﻿agregar,2,1,1,0,agregabais
﻿agregar,3,1,1,0,agregaban
﻿agregar,1,0,2,0,agregué
﻿agregar,2,0,2,0,agregaste
﻿agregar,3,0,2,0,agregó
﻿agregar,1,1,2,0,agregamos
﻿agregar,2,1,2,0,agregasteis
﻿agregar,3,1,2,0,agregaron
﻿agregar,1,0,1,0,agregaré
﻿agregar,2,0,1,0,agregarás
﻿agregar,3,0,1,0,agregará
﻿agregar,1,1,1,0,agregaremos
﻿agregar,2,1,1,0,agregaréis
﻿agregar,3,1,1,0,agregarán
﻿agregar,1,0,2,0,agregaría
﻿agregar,2,0,2,0,agregarías
﻿agregar,3,0,2,0,agregaría
﻿agregar,1,1,2,0,agregaríamos
﻿agregar,2,1,2,0,agregaríais
﻿agregar,3,1,2,0,agregarían
﻿agregar,1,0,0,1,agregue
﻿agregar,2,0,0,1,agregues
﻿agregar,3,0,0,1,agregue
﻿agregar,1,1,0,1,agreguemos
﻿agregar,2,1,0,1,agreguéis
﻿agregar,3,1,0,1,agreguen
﻿agregar,1,0,1,1,agregara
﻿agregar,2,0,1,1,agregaras
﻿agregar,3,0,1,1,agregara
﻿agregar,1,1,1,1,agregáramos
﻿agregar,2,1,1,1,agregarais
﻿agregar,3,1,1,1,agregaran
﻿agregar,1,0,1,1,agregare
﻿agregar,2,0,1,1,agregares
﻿agregar,3,0,1,1,agregare
﻿agregar,1,1,1,1,agregáremos
﻿agregar,2,1,1,1,agregareis
﻿agregar,3,1,1,1,agregaren
﻿agregar,0,0,0,2,–
﻿agregar,2,0,0,2,¡agrega!
﻿agregar,0,0,0,2,¡agregue!
﻿agregar,1,1,0,2,¡agreguemos!
﻿agregar,2,1,0,2,¡agregad!
﻿agregar,0,0,0,2,¡agreguen!
admirar,1,0,0,0,admiro
admirar,2,0,0,0,admiras
admirar,3,0,0,0,admira
admirar,1,1,0,0,admiramos
admirar,2,1,0,0,admiráis
admirar,3,1,0,0,admiran
admirar,1,0,1,0,admiraba
admirar,2,0,1,0,admirabas
admirar,3,0,1,0,admiraba
admirar,1,1,1,0,admirábamos
admirar,2,1,1,0,admirabais
admirar,3,1,1,0,admiraban
admirar,1,0,2,0,admiré
admirar,2,0,2,0,admiraste
admirar,3,0,2,0,admiró
admirar,1,1,2,0,admiramos
admirar,2,1,2,0,admirasteis
admirar,3,1,2,0,admiraron
admirar,1,0,1,0,admiraré
admirar,2,0,1,0,admirarás
admirar,3,0,1,0,admirará
admirar,1,1,1,0,admiraremos
admirar,2,1,1,0,admiraréis
admirar,3,1,1,0,admirarán
admirar,1,0,2,0,admiraría
admirar,2,0,2,0,admirarías
admirar,3,0,2,0,admiraría
admirar,1,1,2,0,admiraríamos
admirar,2,1,2,0,admiraríais
admirar,3,1,2,0,admirarían
admirar,1,0,0,1,admire
admirar,2,0,0,1,admires
admirar,3,0,0,1,admire
admirar,1,1,0,1,admiremos
admirar,2,1,0,1,admiréis
admirar,3,1,0,1,admiren
admirar,1,0,1,1,admirara
admirar,2,0,1,1,admiraras
admirar,3,0,1,1,admirara
admirar,1,1,1,1,admiráramos
admirar,2,1,1,1,admirarais
admirar,3,1,1,1,admiraran
admirar,1,0,1,1,admirare
admirar,2,0,1,1,admirares
admirar,3,0,1,1,admirare
admirar,1,1,1,1,admiráremos
admirar,2,1,1,1,admirareis
admirar,3,1,1,1,admiraren
admirar,0,0,0,2,–
admirar,2,0,0,2,¡admira!
admirar,0,0,0,2,¡admire!
admirar,1,1,0,2,¡admiremos!
admirar,2,1,0,2,¡admirad!
admirar,0,0,0,2,¡admiren!
admitir,1,0,0,0,admito
admitir,2,0,0,0,admites
admitir,3,0,0,0,admite
admitir,1,1,0,0,admitimos
admitir,2,1,0,0,admitís
admitir,3,1,0,0,admiten
admitir,1,0,1,0,admitía
admitir,2,0,1,0,admitías
admitir,3,0,1,0,admitía
admitir,1,1,1,0,admitíamos
admitir,2,1,1,0,admitíais
admitir,3,1,1,0,admitían
admitir,1,0,2,0,admití
admitir,2,0,2,0,admitiste
admitir,3,0,2,0,admitió
admitir,1,1,2,0,admitimos
admitir,2,1,2,0,admitisteis
admitir,3,1,2,0,admitieron
admitir,1,0,1,0,admitiré
admitir,2,0,1,0,admitirás
admitir,3,0,1,0,admitirá
admitir,1,1,1,0,admitiremos
admitir,2,1,1,0,admitiréis
admitir,3,1,1,0,admitirán
admitir,1,0,2,0,admitiría
admitir,2,0,2,0,admitirías
admitir,3,0,2,0,admitiría
admitir,1,1,2,0,admitiríamos
admitir,2,1,2,0,admitiríais
admitir,3,1,2,0,admitirían
admitir,1,0,0,1,admita
admitir,2,0,0,1,admitas
admitir,3,0,0,1,admita
admitir,1,1,0,1,admitamos
admitir,2,1,0,1,admitáis
admitir,3,1,0,1,admitan
admitir,1,0,1,1,admitiera
admitir,2,0,1,1,admitieras
admitir,3,0,1,1,admitiera
admitir,1,1,1,1,admitiéramos
admitir,2,1,1,1,admitierais
admitir,3,1,1,1,admitieran
admitir,1,0,1,1,admitiere
admitir,2,0,1,1,admitieres
admitir,3,0,1,1,admitiere
admitir,1,1,1,1,admitiéremos
admitir,2,1,1,1,admitiereis
admitir,3,1,1,1,admitieren
admitir,0,0,0,2,–
admitir,2,0,0,2,¡admite!
admitir,0,0,0,2,¡admita!
admitir,1,1,0,2,¡admitamos!
admitir,2,1,0,2,¡admitid!
admitir,0,0,0,2,¡admitan!
aconsejar,1,0,0,0,aconsejo
aconsejar,2,0,0,0,aconsejas
aconsejar,3,0,0,0,aconseja
aconsejar,1,1,0,0,aconsejamos
aconsejar,2,1,0,0,aconsejáis
aconsejar,3,1,0,0,aconsejan
aconsejar,1,0,1,0,aconsejaba
aconsejar,2,0,1,0,aconsejabas
aconsejar,3,0,1,0,aconsejaba
aconsejar,1,1,1,0,aconsejábamos
aconsejar,2,1,1,0,aconsejabais
aconsejar,3,1,1,0,aconsejaban
aconsejar,1,0,2,0,aconsejé
aconsejar,2,0,2,0,aconsejaste
aconsejar,3,0,2,0,aconsejó
aconsejar,1,1,2,0,aconsejamos
aconsejar,2,1,2,0,aconsejasteis
aconsejar,3,1,2,0,aconsejaron
aconsejar,1,0,1,0,aconsejaré
aconsejar,2,0,1,0,aconsejarás
aconsejar,3,0,1,0,aconsejará
aconsejar,1,1,1,0,aconsejaremos
aconsejar,2,1,1,0,aconsejaréis
aconsejar,3,1,1,0,aconsejarán
aconsejar,1,0,2,0,aconsejaría
aconsejar,2,0,2,0,aconsejarías
aconsejar,3,0,2,0,aconsejaría
aconsejar,1,1,2,0,aconsejaríamos
aconsejar,2,1,2,0,aconsejaríais
aconsejar,3,1,2,0,aconsejarían
aconsejar,1,0,0,1,aconseje
aconsejar,2,0,0,1,aconsejes
aconsejar,3,0,0,1,aconseje
aconsejar,1,1,0,1,aconsejemos
aconsejar,2,1,0,1,aconsejéis
aconsejar,3,1,0,1,aconsejen
aconsejar,1,0,1,1,aconsejara
aconsejar,2,0,1,1,aconsejaras
aconsejar,3,0,1,1,aconsejara
aconsejar,1,1,1,1,aconsejáramos
aconsejar,2,1,1,1,aconsejarais
aconsejar,3,1,1,1,aconsejaran
aconsejar,1,0,1,1,aconsejare
aconsejar,2,0,1,1,aconsejares
aconsejar,3,0,1,1,aconsejare
aconsejar,1,1,1,1,aconsejáremos
aconsejar,2,1,1,1,aconsejareis
aconsejar,3,1,1,1,aconsejaren
aconsejar,0,0,0,2,–
aconsejar,2,0,0,2,¡aconseja!
aconsejar,0,0,0,2,¡aconseje!
aconsejar,1,1,0,2,¡aconsejemos!
aconsejar,2,1,0,2,¡aconsejad!
aconsejar,0,0,0,2,¡aconsejen!
afrontar,1,0,0,0,afronto
afrontar,2,0,0,0,afrontas
afrontar,3,0,0,0,afronta
afrontar,1,1,0,0,afrontamos
afrontar,2,1,0,0,afrontáis
afrontar,3,1,0,0,afrontan
afrontar,1,0,1,0,afrontaba
afrontar,2,0,1,0,afrontabas
afrontar,3,0,1,0,afrontaba
afrontar,1,1,1,0,afrontábamos
afrontar,2,1,1,0,afrontabais
afrontar,3,1,1,0,afrontaban
afrontar,1,0,2,0,afronté
afrontar,2,0,2,0,afrontaste
afrontar,3,0,2,0,afrontó
afrontar,1,1,2,0,afrontamos
afrontar,2,1,2,0,afrontasteis
afrontar,3,1,2,0,afrontaron
afrontar,1,0,1,0,afrontaré
afrontar,2,0,1,0,afrontarás
afrontar,3,0,1,0,afrontará
afrontar,1,1,1,0,afrontaremos
afrontar,2,1,1,0,afrontaréis
afrontar,3,1,1,0,afrontarán
afrontar,1,0,2,0,afrontaría
afrontar,2,0,2,0,afrontarías
afrontar,3,0,2,0,afrontaría
afrontar,1,1,2,0,afrontaríamos
afrontar,2,1,2,0,afrontaríais
afrontar,3,1,2,0,afrontarían
afrontar,1,0,0,1,afronte
afrontar,2,0,0,1,afrontes
afrontar,3,0,0,1,afronte
afrontar,1,1,0,1,afrontemos
afrontar,2,1,0,1,afrontéis
afrontar,3,1,0,1,afronten
afrontar,1,0,1,1,afrontara
afrontar,2,0,1,1,afrontaras
afrontar,3,0,1,1,afrontara
afrontar,1,1,1,1,afrontáramos
afrontar,2,1,1,1,afrontarais
afrontar,3,1,1,1,afrontaran
afrontar,1,0,1,1,afrontare
afrontar,2,0,1,1,afrontares
afrontar,3,0,1,1,afrontare
afrontar,1,1,1,1,afrontáremos
afrontar,2,1,1,1,afrontareis
afrontar,3,1,1,1,afrontaren
afrontar,0,0,0,2,–
afrontar,2,0,0,2,¡afronta!
afrontar,0,0,0,2,¡afronte!
afrontar,1,1,0,2,¡afrontemos!
afrontar,2,1,0,2,¡afrontad!
afrontar,0,0,0,2,¡afronten!
estar,1,0,0,0,estoy
estar,2,0,0,0,estás
estar,3,0,0,0,está
estar,1,1,0,0,estamos
estar,2,1,0,0,estáis
estar,3,1,0,0,están
estar,1,0,1,0,estaba
estar,2,0,1,0,estabas
estar,3,0,1,0,estaba
estar,1,1,1,0,estábamos
estar,2,1,1,0,estabais
estar,3,1,1,0,estaban
estar,1,0,2,0,estuve
estar,2,0,2,0,estuviste
estar,3,0,2,0,estuvo
estar,1,1,2,0,estuvimos
estar,2,1,2,0,estuvisteis
estar,3,1,2,0,estuvieron
estar,1,0,1,0,estaré
estar,2,0,1,0,estarás
estar,3,0,1,0,estará
estar,1,1,1,0,estaremos
estar,2,1,1,0,estaréis
estar,3,1,1,0,estarán
estar,1,0,2,0,estaría
estar,2,0,2,0,estarías
estar,3,0,2,0,estaría
estar,1,1,2,0,estaríamos
estar,2,1,2,0,estaríais
estar,3,1,2,0,estarían
estar,1,0,0,1,esté
estar,2,0,0,1,estés
estar,3,0,0,1,esté
estar,1,1,0,1,estemos
estar,2,1,0,1,estéis
estar,3,1,0,1,estén
estar,1,0,1,1,estuviera
estar,2,0,1,1,estuvieras
estar,3,0,1,1,estuviera
estar,1,1,1,1,estuviéramos
estar,2,1,1,1,estuvierais
estar,3,1,1,1,estuvieran
estar,1,0,1,1,estuviere
estar,2,0,1,1,estuvieres
estar,3,0,1,1,estuviere
estar,1,1,1,1,estuviéremos
estar,2,1,1,1,estuviereis
estar,3,1,1,1,estuvieren
estar,0,0,0,2,–
estar,2,0,0,2,¡está!
estar,0,0,0,2,¡esté!
estar,1,1,0,2,¡estemos!
estar,2,1,0,2,¡estad!
estar,0,0,0,2,¡estén!
alertar,1,0,0,0,alerto
alertar,2,0,0,0,alertas
alertar,3,0,0,0,alerta
alertar,1,1,0,0,alertamos
alertar,2,1,0,0,alertáis
alertar,3,1,0,0,alertan
alertar,1,0,1,0,alertaba
alertar,2,0,1,0,alertabas
alertar,3,0,1,0,alertaba
alertar,1,1,1,0,alertábamos
alertar,2,1,1,0,alertabais
alertar,3,1,1,0,alertaban
alertar,1,0,2,0,alerté
alertar,2,0,2,0,alertaste
alertar,3,0,2,0,alertó
alertar,1,1,2,0,alertamos
alertar,2,1,2,0,alertasteis
alertar,3,1,2,0,alertaron
alertar,1,0,1,0,alertaré
alertar,2,0,1,0,alertarás
alertar,3,0,1,0,alertará
alertar,1,1,1,0,alertaremos
alertar,2,1,1,0,alertaréis
alertar,3,1,1,0,alertarán
alertar,1,0,2,0,alertaría
alertar,2,0,2,0,alertarías
alertar,3,0,2,0,alertaría
alertar,1,1,2,0,alertaríamos
alertar,2,1,2,0,alertaríais
alertar,3,1,2,0,alertarían
alertar,1,0,0,1,alerte
alertar,2,0,0,1,alertes
alertar,3,0,0,1,alerte
alertar,1,1,0,1,alertemos
alertar,2,1,0,1,alertéis
alertar,3,1,0,1,alerten
alertar,1,0,1,1,alertara
alertar,2,0,1,1,alertaras
alertar,3,0,1,1,alertara
alertar,1,1,1,1,alertáramos
alertar,2,1,1,1,alertarais
alertar,3,1,1,1,alertaran
alertar,1,0,1,1,alertare
alertar,2,0,1,1,alertares
alertar,3,0,1,1,alertare
alertar,1,1,1,1,alertáremos
alertar,2,1,1,1,alertareis
alertar,3,1,1,1,alertaren
alertar,0,0,0,2,–
alertar,2,0,0,2,¡alerta!
alertar,0,0,0,2,¡alerte!
alertar,1,1,0,2,¡alertemos!
alertar,2,1,0,2,¡alertad!
alertar,0,0,0,2,¡alerten!
permitir,1,0,0,0,permito
permitir,2,0,0,0,permites
permitir,3,0,0,0,permite
permitir,1,1,0,0,permitimos
permitir,2,1,0,0,permitís
permitir,3,1,0,0,permiten
permitir,1,0,1,0,permitía
permitir,2,0,1,0,permitías
permitir,3,0,1,0,permitía
permitir,1,1,1,0,permitíamos
permitir,2,1,1,0,permitíais
permitir,3,1,1,0,permitían
permitir,1,0,2,0,permití
permitir,2,0,2,0,permitiste
permitir,3,0,2,0,permitió
permitir,1,1,2,0,permitimos
permitir,2,1,2,0,permitisteis
permitir,3,1,2,0,permitieron
permitir,1,0,1,0,permitiré
permitir,2,0,1,0,permitirás
permitir,3,0,1,0,permitirá
permitir,1,1,1,0,permitiremos
permitir,2,1,1,0,permitiréis
permitir,3,1,1,0,permitirán
permitir,1,0,2,0,permitiría
permitir,2,0,2,0,permitirías
permitir,3,0,2,0,permitiría
permitir,1,1,2,0,permitiríamos
permitir,2,1,2,0,permitiríais
permitir,3,1,2,0,permitirían
permitir,1,0,0,1,permita
permitir,2,0,0,1,permitas
permitir,3,0,0,1,permita
permitir,1,1,0,1,permitamos
permitir,2,1,0,1,permitáis
permitir,3,1,0,1,permitan
permitir,1,0,1,1,permitiera
permitir,2,0,1,1,permitieras
permitir,3,0,1,1,permitiera
permitir,1,1,1,1,permitiéramos
permitir,2,1,1,1,permitierais
permitir,3,1,1,1,permitieran
permitir,1,0,1,1,permitiere
permitir,2,0,1,1,permitieres
permitir,3,0,1,1,permitiere
permitir,1,1,1,1,permitiéremos
permitir,2,1,1,1,permitiereis
permitir,3,1,1,1,permitieren
permitir,0,0,0,2,–
permitir,2,0,0,2,¡permite!
permitir,0,0,0,2,¡permita!
permitir,1,1,0,2,¡permitamos!
permitir,2,1,0,2,¡permitid!
permitir,0,0,0,2,¡permitan!
entretener,1,0,0,0,entretengo
entretener,2,0,0,0,entretienes
entretener,3,0,0,0,entretiene
entretener,1,1,0,0,entretenemos
entretener,2,1,0,0,entretenéis
entretener,3,1,0,0,entretienen
entretener,1,0,1,0,entretenía
entretener,2,0,1,0,entretenías
entretener,3,0,1,0,entretenía
entretener,1,1,1,0,entreteníamos
entretener,2,1,1,0,entreteníais
entretener,3,1,1,0,entretenían
entretener,1,0,2,0,entretuve
entretener,2,0,2,0,entretuviste
entretener,3,0,2,0,entretuvo
entretener,1,1,2,0,entretuvimos
entretener,2,1,2,0,entretuvisteis
entretener,3,1,2,0,entretuvieron
entretener,1,0,1,0,entretendré
entretener,2,0,1,0,entretendrás
entretener,3,0,1,0,entretendrá
entretener,1,1,1,0,entretendremos
entretener,2,1,1,0,entretendréis
entretener,3,1,1,0,entretendrán
entretener,1,0,2,0,entretendría
entretener,2,0,2,0,entretendrías
entretener,3,0,2,0,entretendría
entretener,1,1,2,0,entretendríamos
entretener,2,1,2,0,entretendríais
entretener,3,1,2,0,entretendrían
entretener,1,0,0,1,entretenga
entretener,2,0,0,1,entretengas
entretener,3,0,0,1,entretenga
entretener,1,1,0,1,entretengamos
entretener,2,1,0,1,entretengáis
entretener,3,1,0,1,entretengan
entretener,1,0,1,1,entretuviera
entretener,2,0,1,1,entretuvieras
entretener,3,0,1,1,entretuviera
entretener,1,1,1,1,entretuviéramos
entretener,2,1,1,1,entretuvierais
entretener,3,1,1,1,entretuvieran
entretener,1,0,1,1,entretuviere
entretener,2,0,1,1,entretuvieres
entretener,3,0,1,1,entretuviere
entretener,1,1,1,1,entretuviéremos
entretener,2,1,1,1,entretuviereis
entretener,3,1,1,1,entretuvieren
entretener,0,0,0,2,–
entretener,2,0,0,2,¡entretén!
entretener,0,0,0,2,¡entretenga!
entretener,1,1,0,2,¡entretengamos!
entretener,2,1,0,2,¡entretened!
entretener,0,0,0,2,¡entretengan!
analizar,1,0,0,0,analizo
analizar,2,0,0,0,analizas
analizar,3,0,0,0,analiza
analizar,1,1,0,0,analizamos
analizar,2,1,0,0,analizáis
analizar,3,1,0,0,analizan
analizar,1,0,1,0,analizaba
analizar,2,0,1,0,analizabas
analizar,3,0,1,0,analizaba
analizar,1,1,1,0,analizábamos
analizar,2,1,1,0,analizabais
analizar,3,1,1,0,analizaban
analizar,1,0,2,0,analicé
analizar,2,0,2,0,analizaste
analizar,3,0,2,0,analizó
analizar,1,1,2,0,analizamos
analizar,2,1,2,0,analizasteis
analizar,3,1,2,0,analizaron
analizar,1,0,1,0,analizaré
analizar,2,0,1,0,analizarás
analizar,3,0,1,0,analizará
analizar,1,1,1,0,analizaremos
analizar,2,1,1,0,analizaréis
analizar,3,1,1,0,analizarán
analizar,1,0,2,0,analizaría
analizar,2,0,2,0,analizarías
analizar,3,0,2,0,analizaría
analizar,1,1,2,0,analizaríamos
analizar,2,1,2,0,analizaríais
analizar,3,1,2,0,analizarían
analizar,1,0,0,1,analice
analizar,2,0,0,1,analices
analizar,3,0,0,1,analice
analizar,1,1,0,1,analicemos
analizar,2,1,0,1,analicéis
analizar,3,1,0,1,analicen
analizar,1,0,1,1,analizara
analizar,2,0,1,1,analizaras
analizar,3,0,1,1,analizara
analizar,1,1,1,1,analizáramos
analizar,2,1,1,1,analizarais
analizar,3,1,1,1,analizaran
analizar,1,0,1,1,analizare
analizar,2,0,1,1,analizares
analizar,3,0,1,1,analizare
analizar,1,1,1,1,analizáremos
analizar,2,1,1,1,analizareis
analizar,3,1,1,1,analizaren
analizar,0,0,0,2,–
analizar,2,0,0,2,¡analiza!
analizar,0,0,0,2,¡analice!
analizar,1,1,0,2,¡analicemos!
analizar,2,1,0,2,¡analizad!
analizar,0,0,0,2,¡analicen!
anunciar,1,0,0,0,anuncio
anunciar,2,0,0,0,anuncias
anunciar,3,0,0,0,anuncia
anunciar,1,1,0,0,anunciamos
anunciar,2,1,0,0,anunciáis
anunciar,3,1,0,0,anuncian
anunciar,1,0,1,0,anunciaba
anunciar,2,0,1,0,anunciabas
anunciar,3,0,1,0,anunciaba
anunciar,1,1,1,0,anunciábamos
anunciar,2,1,1,0,anunciabais
anunciar,3,1,1,0,anunciaban
anunciar,1,0,2,0,anuncié
anunciar,2,0,2,0,anunciaste
anunciar,3,0,2,0,anunció
anunciar,1,1,2,0,anunciamos
anunciar,2,1,2,0,anunciasteis
anunciar,3,1,2,0,anunciaron
anunciar,1,0,1,0,anunciaré
anunciar,2,0,1,0,anunciarás
anunciar,3,0,1,0,anunciará
anunciar,1,1,1,0,anunciaremos
anunciar,2,1,1,0,anunciaréis
anunciar,3,1,1,0,anunciarán
anunciar,1,0,2,0,anunciaría
anunciar,2,0,2,0,anunciarías
anunciar,3,0,2,0,anunciaría
anunciar,1,1,2,0,anunciaríamos
anunciar,2,1,2,0,anunciaríais
anunciar,3,1,2,0,anunciarían
anunciar,1,0,0,1,anuncie
anunciar,2,0,0,1,anuncies
anunciar,3,0,0,1,anuncie
anunciar,1,1,0,1,anunciemos
anunciar,2,1,0,1,anunciéis
anunciar,3,1,0,1,anuncien
anunciar,1,0,1,1,anunciara
anunciar,2,0,1,1,anunciaras
anunciar,3,0,1,1,anunciara
anunciar,1,1,1,1,anunciáramos
anunciar,2,1,1,1,anunciarais
anunciar,3,1,1,1,anunciaran
anunciar,1,0,1,1,anunciare
anunciar,2,0,1,1,anunciares
anunciar,3,0,1,1,anunciare
anunciar,1,1,1,1,anunciáremos
anunciar,2,1,1,1,anunciareis
anunciar,3,1,1,1,anunciaren
anunciar,0,0,0,2,–
anunciar,2,0,0,2,¡anuncia!
anunciar,0,0,0,2,¡anuncie!
anunciar,1,1,0,2,¡anunciemos!
anunciar,2,1,0,2,¡anunciad!
anunciar,0,0,0,2,¡anuncien!
molestar,1,0,0,0,molesto
molestar,2,0,0,0,molestas
molestar,3,0,0,0,molesta
molestar,1,1,0,0,molestamos
molestar,2,1,0,0,molestáis
molestar,3,1,0,0,molestan
molestar,1,0,1,0,molestaba
molestar,2,0,1,0,molestabas
molestar,3,0,1,0,molestaba
molestar,1,1,1,0,molestábamos
molestar,2,1,1,0,molestabais
molestar,3,1,1,0,molestaban
molestar,1,0,2,0,molesté
molestar,2,0,2,0,molestaste
molestar,3,0,2,0,molestó
molestar,1,1,2,0,molestamos
molestar,2,1,2,0,molestasteis
molestar,3,1,2,0,molestaron
molestar,1,0,1,0,molestaré
molestar,2,0,1,0,molestarás
molestar,3,0,1,0,molestará
molestar,1,1,1,0,molestaremos
molestar,2,1,1,0,molestaréis
molestar,3,1,1,0,molestarán
molestar,1,0,2,0,molestaría
molestar,2,0,2,0,molestarías
molestar,3,0,2,0,molestaría
molestar,1,1,2,0,molestaríamos
molestar,2,1,2,0,molestaríais
molestar,3,1,2,0,molestarían
molestar,1,0,0,1,moleste
molestar,2,0,0,1,molestes
molestar,3,0,0,1,moleste
molestar,1,1,0,1,molestemos
molestar,2,1,0,1,molestéis
molestar,3,1,0,1,molesten
molestar,1,0,1,1,molestara
molestar,2,0,1,1,molestaras
molestar,3,0,1,1,molestara
molestar,1,1,1,1,molestáramos
molestar,2,1,1,1,molestarais
molestar,3,1,1,1,molestaran
molestar,1,0,1,1,molestare
molestar,2,0,1,1,molestares
molestar,3,0,1,1,molestare
molestar,1,1,1,1,molestáremos
molestar,2,1,1,1,molestareis
molestar,3,1,1,1,molestaren
molestar,0,0,0,2,–
molestar,2,0,0,2,¡molesta!
molestar,0,0,0,2,¡moleste!
molestar,1,1,0,2,¡molestemos!
molestar,2,1,0,2,¡molestad!
molestar,0,0,0,2,¡molesten!
contestar,1,0,0,0,contesto
contestar,2,0,0,0,contestas
contestar,3,0,0,0,contesta
contestar,1,1,0,0,contestamos
contestar,2,1,0,0,contestáis
contestar,3,1,0,0,contestan
contestar,1,0,1,0,contestaba
contestar,2,0,1,0,contestabas
contestar,3,0,1,0,contestaba
contestar,1,1,1,0,contestábamos
contestar,2,1,1,0,contestabais
contestar,3,1,1,0,contestaban
contestar,1,0,2,0,contesté
contestar,2,0,2,0,contestaste
contestar,3,0,2,0,contestó
contestar,1,1,2,0,contestamos
contestar,2,1,2,0,contestasteis
contestar,3,1,2,0,contestaron
contestar,1,0,1,0,contestaré
contestar,2,0,1,0,contestarás
contestar,3,0,1,0,contestará
contestar,1,1,1,0,contestaremos
contestar,2,1,1,0,contestaréis
contestar,3,1,1,0,contestarán
contestar,1,0,2,0,contestaría
contestar,2,0,2,0,contestarías
contestar,3,0,2,0,contestaría
contestar,1,1,2,0,contestaríamos
contestar,2,1,2,0,contestaríais
contestar,3,1,2,0,contestarían
contestar,1,0,0,1,conteste
contestar,2,0,0,1,contestes
contestar,3,0,0,1,conteste
contestar,1,1,0,1,contestemos
contestar,2,1,0,1,contestéis
contestar,3,1,0,1,contesten
contestar,1,0,1,1,contestara
contestar,2,0,1,1,contestaras
contestar,3,0,1,1,contestara
contestar,1,1,1,1,contestáramos
contestar,2,1,1,1,contestarais
contestar,3,1,1,1,contestaran
contestar,1,0,1,1,contestare
contestar,2,0,1,1,contestares
contestar,3,0,1,1,contestare
contestar,1,1,1,1,contestáremos
contestar,2,1,1,1,contestareis
contestar,3,1,1,1,contestaren
contestar,0,0,0,2,–
contestar,2,0,0,2,¡contesta!
contestar,0,0,0,2,¡conteste!
contestar,1,1,0,2,¡contestemos!
contestar,2,1,0,2,¡contestad!
contestar,0,0,0,2,¡contesten!
disculpar,1,0,0,0,disculpo
disculpar,2,0,0,0,disculpas
disculpar,3,0,0,0,disculpa
disculpar,1,1,0,0,disculpamos
disculpar,2,1,0,0,disculpáis
disculpar,3,1,0,0,disculpan
disculpar,1,0,1,0,disculpaba
disculpar,2,0,1,0,disculpabas
disculpar,3,0,1,0,disculpaba
disculpar,1,1,1,0,disculpábamos
disculpar,2,1,1,0,disculpabais
disculpar,3,1,1,0,disculpaban
disculpar,1,0,2,0,disculpé
disculpar,2,0,2,0,disculpaste
disculpar,3,0,2,0,disculpó
disculpar,1,1,2,0,disculpamos
disculpar,2,1,2,0,disculpasteis
disculpar,3,1,2,0,disculparon
disculpar,1,0,1,0,disculparé
disculpar,2,0,1,0,disculparás
disculpar,3,0,1,0,disculpará
disculpar,1,1,1,0,disculparemos
disculpar,2,1,1,0,disculparéis
disculpar,3,1,1,0,disculparán
disculpar,1,0,2,0,disculparía
disculpar,2,0,2,0,disculparías
disculpar,3,0,2,0,disculparía
disculpar,1,1,2,0,disculparíamos
disculpar,2,1,2,0,disculparíais
disculpar,3,1,2,0,disculparían
disculpar,1,0,0,1,disculpe
disculpar,2,0,0,1,disculpes
disculpar,3,0,0,1,disculpe
disculpar,1,1,0,1,disculpemos
disculpar,2,1,0,1,disculpéis
disculpar,3,1,0,1,disculpen
disculpar,1,0,1,1,disculpara
disculpar,2,0,1,1,disculparas
disculpar,3,0,1,1,disculpara
disculpar,1,1,1,1,disculpáramos
disculpar,2,1,1,1,disculparais
disculpar,3,1,1,1,disculparan
disculpar,1,0,1,1,disculpare
disculpar,2,0,1,1,disculpares
disculpar,3,0,1,1,disculpare
disculpar,1,1,1,1,disculpáremos
disculpar,2,1,1,1,disculpareis
disculpar,3,1,1,1,disculparen
disculpar,0,0,0,2,–
disculpar,2,0,0,2,¡disculpa!
disculpar,0,0,0,2,¡disculpe!
disculpar,1,1,0,2,¡disculpemos!
disculpar,2,1,0,2,¡disculpad!
disculpar,0,0,0,2,¡disculpen!
aparecer,1,0,0,0,aparezco
aparecer,2,0,0,0,apareces
aparecer,3,0,0,0,aparece
aparecer,1,1,0,0,aparecemos
aparecer,2,1,0,0,aparecéis
aparecer,3,1,0,0,aparecen
aparecer,1,0,1,0,aparecía
aparecer,2,0,1,0,aparecías
aparecer,3,0,1,0,aparecía
aparecer,1,1,1,0,aparecíamos
aparecer,2,1,1,0,aparecíais
aparecer,3,1,1,0,aparecían
aparecer,1,0,2,0,aparecí
aparecer,2,0,2,0,apareciste
aparecer,3,0,2,0,apareció
aparecer,1,1,2,0,aparecimos
aparecer,2,1,2,0,aparecisteis
aparecer,3,1,2,0,aparecieron
aparecer,1,0,1,0,apareceré
aparecer,2,0,1,0,aparecerás
aparecer,3,0,1,0,aparecerá
aparecer,1,1,1,0,apareceremos
aparecer,2,1,1,0,apareceréis
aparecer,3,1,1,0,aparecerán
aparecer,1,0,2,0,aparecería
